station_index,point_index,x_m,z_m,half_breadth_m
3,9,-0.49653422847746315,-5.016460993608414e-05,0.0004666244813590576
3,10,-0.49653422847746315,-6.13240396886229e-05,0.0004614861920594789
3,11,-0.49653422847746315,-7.33962427816259e-05,0.00045529336891990803
3,12,-0.49653422847746315,-8.630679006860986e-05,0.0004479873189978922
3,13,-0.49653422847746315,-9.99760837323579e-05,0.00043952324021788637
3,14,-0.49653422847746315,-0.00011431984803193162,0.0004298708378074811
3,15,-0.49653422847746315,-0.00012924964889063852,0.0004190147680022297
3,16,-0.49653422847746315,-0.00014467343912152208,0.00040695491718696815
3,17,-0.49653422847746315,-0.00016049612592887815,0.000393706524586069
3,18,-0.49653422847746315,-0.00017662015718696218,0.00037930015687751657
3,19,-0.49653422847746315,-0.00019294612288128354,0.0003637815436554529
3,20,-0.49653422847746315,-0.00020937336800440224,0.00034721128350017596
3,21,-0.49653422847746315,-0.00022580061312752094,0.00032966443155395817
3,22,-0.49653422847746315,-0.0002421265788218423,0.0003112299809927531
3,23,-0.49653422847746315,-0.0002582506100799263,0.0002920102527127287
3,24,-0.49653422847746315,-0.00027407329688728245,0.0002721202100583391
3,25,-0.49653422847746315,-0.000289497087118166,0.0002516867187364152
3,26,-0.49653422847746315,-0.00030442688797687286,0.00023084777656426144
3,27,-0.49653422847746315,-0.0003187706522764466,0.0002097517440054508
3,28,-0.49653422847746315,-0.00033243994594019463,0.000188556615584991
3,29,-0.49653422847746315,-0.0003453504932271786,0.00016742938601184646
3,30,-0.49653422847746315,-0.0003574226963201816,0.00014654558629993825
3,31,-0.49653422847746315,-0.00036858212607272035,0.00012608910013594385
3,32,-0.49653422847746315,-0.00037875998088948357,0.00010625243034625823
3,33,-0.49653422847746315,-0.0003878935109110456,8.723769241166513e-05
3,34,-0.49653422847746315,-0.00039592640488761676,6.925881675918541e-05
3,35,-0.49653422847746315,-0.00040280913735662305,5.254586433275676e-05
3,36,-0.49653422847746315,-0.0004084992739836523,3.735332309519152e-05
3,37,-0.49653422847746315,-0.00041296173318423635,2.397675987418734e-05
3,38,-0.49653422847746315,-0.00041616900241348546,1.2790124739320213e-05
3,39,-0.49653422847746315,-0.000418101307790076,4.350686054426989e-06
3,40,-0.49653422847746315,-0.0004187467360088045,0.0
4,0,-0.4938441702975689,-0.0,0.0009685704087790707
4,1,-0.4938441702975689,-1.2002630312146432e-06,0.0009685384903729854
4,2,-0.4938441702975689,-4.793652104143139e-06,0.0009682956376689134
4,3,-0.4938441702975689,-1.0758012780227844e-05,0.0009676048507443216
4,4,-0.4938441702975689,-1.9056572792549416e-05,0.0009662213579610899
4,5,-0.4938441702975689,-2.963816875908069e-05,0.0009639014114970893
4,6,-0.4938441702975689,-4.2437561621950274e-05,0.0009604081534407348
4,7,-0.4938441702975689,-5.737583886792857e-05,0.0009555162847477496
4,8,-0.4938441702975689,-7.436090105031287e-05,0.0009490159853511586
4,9,-0.4938441702975689,-9.328802961264242e-05,0.0009407162597340694
4,10,-0.4938441702975689,-0.00011404053251342153,0.0009304477923942101
4,11,-0.4938441702975689,-0.00013649046367135943,0.0009180653617727293
4,12,-0.4938441702975689,-0.00016049941179550778,0.0009034498450313312
4,13,-0.4938441702975689,-0.00018591935373689575,0.0008865098380683592
4,14,-0.4938441702975689,-0.00021259356710046627,0.0008671829109736059
4,15,-0.4938441702975689,-0.00024035759649075684,0.0008454365169052728
4,16,-0.4938441702975689,-0.0002690402674340997,0.0008212685713302436
4,17,-0.4938441702975689,-0.00029846474172617323,0.0007947077183407533
4,18,-0.4938441702975689,-0.0003284496076983361,0.0007658133011861296
4,19,-0.4938441702975689,-0.00035880999868089024,0.0007346750551748954
4,20,-0.4938441702975689,-0.0003893587327675737,0.0007014125427052928
4,21,-0.4938441702975689,-0.00041990746685425715,0.0006661743524139951
4,22,-0.4938441702975689,-0.0004502678578368113,0.0006291370873911514
4,23,-0.4938441702975689,-0.0004802527238089742,0.0005905041712696876
4,24,-0.4938441702975689,-0.0005096771981010478,0.000550504506049146
4,25,-0.4938441702975689,-0.0005383598690443906,0.0005093910222338082
4,26,-0.4938441702975689,-0.0005661238984346812,0.0004674391710225551
4,27,-0.4938441702975689,-0.0005927981117982517,0.0004249454211492118
4,28,-0.4938441702975689,-0.0006182180537396396,0.00038222584165175565
4,29,-0.4938441702975689,-0.000642227001863788,0.0003396148799737571
4,30,-0.4938441702975689,-0.000664676933021726,0.00029746448879977187
4,31,-0.4938441702975689,-0.000685429435922505,0.0002561438267540794
4,32,-0.4938441702975689,-0.0007043565644848346,0.00021603988048998407
4,33,-0.4938441702975689,-0.0007213416266672189,0.00017755957578818743
4,34,-0.4938441702975689,-0.0007362799039131972,0.00014113436645807383
4,35,-0.4938441702975689,-0.0007490792967760668,0.00010722916012349572
4,36,-0.4938441702975689,-0.0007596608927425982,7.635942467816857e-05
4,37,-0.4938441702975689,-0.0007679594527549196,4.912549111197383e-05
4,38,-0.4938441702975689,-0.0007739238134310043,2.6289440361337234e-05
4,39,-0.4938441702975689,-0.0007775172025039329,8.991788993750072e-06
4,40,-0.4938441702975689,-0.0007787174655351475,0.0
5,0,-0.4903926402016152,-0.0,0.0016670245969546988
5,1,-0.4903926402016152,-1.9409899879807912e-06,0.0016669714309749011
5,2,-0.4903926402016152,-7.751993103202537e-06,0.0016665643937235984
5,3,-0.4903926402016152,-1.7397182579105405e-05,0.00166540222611056
5,4,-0.4903926402016152,-3.081709261521934e-05,0.0016630686517007467
