x_m,z_m,half_breadth_m
0.105,0.0244895804365,0.294640600808
0.105,0.0269440137839,0.293646475511
0.105,0.0295071473283,0.292516416362
0.105,0.0321774371336,0.291239767975
0.105,0.0349532747173,0.289805647909
0.105,0.0378329880186,0.288202957714
0.105,0.0408148424058,0.286420391654
0.105,0.0438970417214,0.284446442826
0.105,0.0470777293637,0.282269406336
0.105,0.0503549894054,0.279877379115
0.105,0.0537268477477,0.277258255901
0.105,0.0571912733091,0.274399720813
0.105,0.0607461792493,0.271289233808
0.105,0.0643894242258,0.267914011163
0.105,0.0681188136841,0.264260998929
0.105,0.0719321011795,0.260316838039
0.105,0.07582698973,0.2560678194
0.105,0.0798011332006,0.25149982689
0.105,0.0838521377157,0.246598265543
0.105,0.0879775631017,0.241347971464
0.105,0.0921749243567,0.235733098888
0.105,0.0964416931472,0.229736978344
0.105,0.100775299331,0.223341937784
0.105,0.105173132506,0.216529075581
0.105,0.109632543582,0.209277969983
0.105,0.114150846377,0.201566303262
0.105,0.118725319233,0.193369369135
0.105,0.12335320666,0.184659417018
0.105,0.128031720991,0.175404762667
0.105,0.132758044063,0.165568554884
0.105,0.137529328917,0.15510701934
0.105,0.14234270151,0.143966876526
0.105,0.147195262445,0.13208139425
0.105,0.152084088721,0.119364052082
0.105,0.157006235492,0.105697722707
0.105,0.16195873784,0.0909146213425
0.105,0.166938612565,0.0747546691291
0.105,0.171942859974,0.0567629290542
0.105,0.176968465698,0.0359498843271
0.105,0.182012402498,0.00828374215158
0.105,0.187071632096,0
0.105,0.192143107002,0
0.105,0.197223772347,0
0.105,0.20231056773,0
0.105,0.207400429055,0
0.105,0.212490290381,0
0.105,0.217577085764,0
0.105,0.222657751109,0
0.105,0.227729226015,0
0.105,0.232788455613,0
0.105,0.237832392413,0
0.105,0.242857998136,0
0.105,0.247862245546,0
0.105,0.252842120271,0
0.105,0.257794622619,0
0.105,0.26271676939,0
0.105,0.267605595666,0
0.105,0.272458156601,0
0.105,0.277271529193,0
0.105,0.282042814048,0
0.105,0.28676913712,0
0.105,0.291447651451,0
0.105,0.296075538878,0
0.105,0.300650011734,0
0.105,0.305168314528,0
0.105,0.309627725605,0
0.105,0.31402555878,0
0.105,0.318359164964,0
0.105,0.322625933754,0
0.105,0.326823295009,0
0.105,0.330948720395,0
0.105,0.33499972491,0
0.105,0.338973868381,0
0.105,0.342868756931,0
0.105,0.346682044427,0
0.105,0.350411433885,0
0.105,0.354054678862,0
0.105,0.357609584802,0
0.105,0.361074010363,0
0.105,0.364445868705,0
0.105,0.367723128747,0
0.105,0.370903816389,0
0.105,0.373986015705,0
0.105,0.376967870092,0
0.105,0.379847583394,0
0.105,0.382623420977,0
0.105,0.385293710783,0
0.105,0.387856844327,0
0.105,0.390311277674,0
0.105,0.392655532366,0
0.105,0.394888196311,0
0.105,0.397007924635,0
0.105,0.399013440494,0
0.105,0.400903535839,0
0.105,0.402677072149,0
0.105,0.404332981111,0
0.105,0.405870265267,0
0.105,0.407287998615,0
0.105,0.408585327165,0
0.105,0.409761469456,0
0.105,0.410815717022,0
