fn,speed_m_s,wave_resistance_N,c_wave_resistance,integral,quadrature_error,tail_fraction,cancellation_ratio,converged,validity_flags
0.30000000000000004,1.8789342724001818,9.219591430336592,0.002140299377049898,1.0130235728224572e-06,1.346062151062655e-21,2.8839634165314984e-07,114458774.84527239,True,
0.30500000000000005,1.9102498436068516,9.323525420515066,0.0020940441769967282,1.0588762425274753e-06,8.85370760112256e-22,2.7596240837967515e-07,209505724.37813786,True,
0.31,1.9415654148135209,9.171661836955664,0.0019940222730253482,1.0760607433021737e-06,8.590571841153442e-22,2.7168884496967226e-07,69654065.44447418,True,
0.315,1.9728809860201906,8.830633849102256,0.0018594141391994837,1.0697402864830785e-06,1.2812094006286791e-21,2.7352984533232227e-07,49105494.538991846,True,
0.32,2.0041965572268605,8.379582206663747,0.0017097309293258572,1.0475811831759886e-06,1.0445366470139994e-21,2.7967622474718744e-07,255531696.42164403,True,
0.325,2.0355121284335302,7.899934591361309,0.0015626514976276634,1.0187217624429542e-06,1.1917748319309456e-21,2.8810204455698573e-07,50164167.53412197,True,
0.33,2.0668276996402,7.4676626538807245,0.0014327227927317028,9.928369619096005e-07,1.1259826947323377e-21,2.962656343633511e-07,102023334.15498394,True,
0.335,2.0981432708468697,7.148113317963928,0.0013307827831061786,9.793691263256915e-07,1.7889809239615364e-21,3.0113203465895443e-07,249429220.68000236,True,
0.33999999999999997,2.129458842053539,6.9931514423982994,0.0012639225381741164,9.869522326839028e-07,1.0008189185461059e-21,2.9972075392279996e-07,419873012.44541126,True,
0.345,2.1607744132602087,7.040173868780732,0.0012358067235522486,1.0230266362447428e-06,2.0283598172293747e-21,2.9011664041155446e-07,424933407.63249654,True,
0.35,2.1920899844668784,7.312505637088298,0.0012471982251339496,1.0936230848257816e-06,1.570849784088764e-21,2.723598658550896e-07,114088967.21764645,True,
0.355,2.223405555673548,7.8207187430363785,0.0012965680647509105,1.2032856573685376e-06,1.189435317370447e-21,2.7687211353438536e-07,23483429.858289916,True,
0.36,2.254721126880218,8.564484464499248,0.0013807071801803905,1.3551007756383297e-06,2.0825436196179696e-21,2.738882890768351e-07,204376545.99285567,True,
0.365,2.2860366980868876,9.534655378258131,0.001495287251151565,1.5508010836252861e-06,1.8645461077907998e-21,2.399350590985296e-07,38920029.9847049,True,
0.37,2.3173522692935573,10.715357097111381,0.0016353418828336584,1.7909170181365135e-06,1.5119777171202926e-21,2.3207828169769657e-07,311261153.1132377,True,
0.375,2.348667840500227,12.085943360596339,0.001795656980503767,2.0749539202387834e-06,1.7816998960049788e-21,2.2444118880824176e-07,382707630.9090117,True,
0.38,2.3799834117068968,13.622727123578281,0.0019710707948798305,2.4015775604605275e-06,4.0301478742462454e-21,2.1800309520650637e-07,366684530.986629,True,
0.385,2.4112989829135665,15.300446078323267,0.002156691330888355,2.7687957401314886e-06,3.6358185688292446e-21,2.133270873809931e-07,200213961.7399646,True,
0.39,2.442614554120236,17.09345295939109,0.002348042460010215,3.174127601443517e-06,5.2534133822880705e-21,1.8669878832993238e-07,182654898.28330326,True,
0.395,2.473930125326906,18.976642316311743,0.002541151392679363,3.6147555190568293e-06,2.4808698634936995e-21,1.8564779861143555e-07,83578838.30445357,True,
0.4,2.5052456965335757,20.926138927316835,0.0027325900369172215,4.087657064093888e-06,1.4488857578776464e-21,1.8662750006030433e-07,129040600.11186981,True,
0.405,2.5365612677402454,22.919778740297133,0.0029194815385591285,4.589716214551748e-06,4.833922798991259e-21,1.6674235069089796e-07,78690632.42111544,True,
0.41000000000000003,2.567876838946915,24.937416083193337,0.003099481846926804,5.11781439416327e-06,3.099387980696368e-21,1.7067668045455342e-07,81253466.06173407,True,
0.41500000000000004,2.599192410153585,26.96109035287109,0.003270744481978098,5.668902814439282e-06,5.7331525976203484e-21,1.5453525906451992e-07,262533942.90843448,True,
0.42000000000000004,2.6305079813602545,28.97508153051861,0.0034318748717994934,6.240057820332374e-06,4.961497180898506e-21,1.6091290342551166e-07,180589788.5441326,True,
0.42500000000000004,2.6618235525669243,30.965882383001976,0.003581879395527229,6.828521582567467e-06,2.8167556253821857e-21,1.4742715026530356e-07,374698185.56463224,True,
0.43000000000000005,2.693139123773594,32.922109002509984,0.0037201126945558805,7.431730051720264e-06,4.7600713562409814e-21,1.3578237226019488e-07,112847982.5429008,True,
0.43500000000000005,2.7244546949802637,34.834369634166094,0.0038462260145949033,8.047330468013493e-06,7.621880003241964e-21,1.443474928948496e-07,73023328.19815908,True,
0.44000000000000006,2.7557702661869334,36.69510674248588,0.003960118314758522,8.673190286352057e-06,7.967463202820954e-21,1.3420131373299939e-07,48386214.4431988,True,
0.44500000000000006,2.787085837393603,38.49842396675411,0.004061891213955547,9.307399152972662e-06,9.338397682971267e-21,1.2528273589810177e-07,164370648.80259788,True,
0.45,2.8184014086002724,40.23990804466891,0.004151808474441054,9.948265645208874e-06,7.394284042701036e-21,1.355535938551524e-07,154033629.79777953,True,
